Data;Número;Histórico;Débito;Crédito
09/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  110753 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.126,99
31/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  118663 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;2.607,24
31/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  118664 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.501,98
31/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  118671 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;7.770,55
31/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  119326 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.483,30
31/10/2018;920;COMPRA DE MERCADORIA CONF. NF.  120227 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;378,91
06/11/2018;920;COMPRA DE MERCADORIA CONF. NF.  121938 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;2.749,89
19/11/2018;920;COMPRA DE MERCADORIA CONF. NF.  127232 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;813,38
19/11/2018;920;COMPRA DE MERCADORIA CONF. NF.  127233 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;390,74
22/11/2018;920;COMPRA DE MERCADORIA CONF. NF.  128780 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.727,48
30/11/2018;920;COMPRA DE MERCADORIA CONF. NF.  132511 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.206,05
18/12/2018;920;COMPRA DE MERCADORIA CONF. NF.  139099 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;729,00
19/12/2018;920;COMPRA DE MERCADORIA CONF. NF.  139638 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.332,14
27/12/2018;920;COMPRA DE MERCADORIA CONF. NF.  142772 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.027,93
27/12/2018;920;COMPRA DE MERCADORIA CONF. NF.  142789 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;2.430,29
27/12/2018;920;COMPRA DE MERCADORIA CONF. NF.  142807 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.499,60
07/01/2019;920;COMPRA DE MERCADORIA CONF. NF.  145741 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;2.838,00
18/01/2019;920;COMPRA DE MERCADORIA CONF. NF.  149239 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;3.099,27
23/01/2019;920;COMPRA DE MERCADORIA CONF. NF.  150443 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;1.355,98
15/02/2019;920;COMPRA DE MERCADORIA CONF. NF.  159588 FOR. SAO BRAZ S/A IND   COMERCIO DE ALIMENTOS ;;3.462,83
